year,annual_mean_sc,annual_std_sc
2012,33.92054672787339,20.630530600248346
2013,35.5997291758071,21.786025668249778
2014,40.545053831636174,21.3120794526711
2015,46.46612667297344,20.747176539784714
2016,42.859626542470856,23.84856652220401
2017,33.72327548001212,19.872363744408744
2018,36.77526831848617,20.4274338661177
2019,46.043109120225054,23.06341334620762
2020,39.90136627595753,23.23392610138289
2021,33.77796924395737,17.705195451637806
2022,35.66638842537197,17.40888075136518
2023,42.32071076619964,19.46466880423318
2024,44.13093929986584,21.271991966791216
