Date,Grid_1AM_MW
2013-01-01,149
2013-01-02,126
2013-01-03,133
2013-01-04,124
2013-01-05,130
2013-01-06,134
2013-01-07,123
2013-01-08,132
2013-01-09,112
2013-01-10,125
2013-01-11,118
2013-01-12,126
2013-01-13,133
2013-01-14,138
2013-01-15,134
2013-01-16,131
2013-01-17,114
2013-01-18,127
2013-01-19,114
2013-01-20,91
2013-01-21,103
2013-01-22,122
2013-01-23,114
2013-01-24,124
2013-01-25,121
2013-01-26,112
2013-01-27,122
2013-01-28,120
2013-01-29,122
2013-01-30,120
2013-01-31,118
2013-02-01,121
2013-02-02,125
2013-02-03,122
2013-02-04,121
2013-02-05,130
2013-02-06,126
2013-02-07,135
2013-02-08,125
2013-02-09,131
2013-02-10,126
2013-02-11,129
2013-02-12,133
2013-02-13,126
2013-02-14,132
2013-02-15,136
2013-02-16,121
2013-02-17,125
2013-02-18,134
2013-02-19,130
2013-02-20,120
2013-02-21,116
2013-02-22,124
2013-02-23,130
2013-02-24,132
2013-02-25,128
2013-02-26,122
2013-02-27,121
2013-02-28,126
2013-03-01,123
2013-03-02,129
2013-03-03,129
2013-03-04,126
2013-03-05,126
2013-03-06,126
2013-03-07,128
2013-03-08,120
2013-03-09,119
2013-03-10,129
2013-03-11,127
2013-03-12,132
2013-03-13,132
2013-03-14,139
2013-03-15,135
2013-03-16,134
2013-03-17,134
2013-03-18,136
2013-03-19,140
2013-03-20,136
2013-03-21,136
2013-03-22,141
2013-03-23,141
2013-03-24,140
2013-03-25,131
2013-03-26,142
2013-03-27,145
2013-03-28,136
2013-03-29,130
2013-03-30,132
2013-03-31,145
2013-04-01,139
2013-04-02,143
2013-04-03,148
2013-04-04,148
2013-04-05,143
2013-04-06,152
2013-04-07,157
2013-04-08,153
2013-04-09,149
2013-04-10,144
2013-04-11,141
2013-04-12,143
2013-04-13,147
2013-04-14,150
2013-04-15,145
2013-04-16,149
2013-04-17,142
2013-04-18,144
2013-04-19,147
2013-04-20,153
2013-04-21,142
2013-04-22,139
2013-04-23,149
2013-04-24,155
2013-04-25,153
2013-04-26,157
2013-04-27,152
2013-04-28,144
2013-04-29,150
2013-04-30,157
2013-05-01,146
2013-05-02,154
2013-05-03,154
2013-05-04,157
2013-05-05,157
2013-05-06,143
2013-05-07,158
2013-05-08,158
2013-05-09,152
2013-05-10,149
2013-05-11,157
2013-05-12,156
2013-05-13,143
2013-05-14,150
2013-05-15,154
2013-05-16,159
2013-05-17,156
2013-05-18,159
2013-05-19,153
2013-05-20,155
2013-05-21,152
2013-05-22,153
2013-05-23,160
2013-05-24,153
2013-05-25,148
2013-05-26,149
2013-05-27,151
2013-05-28,151
2013-05-29,143
2013-05-30,147
2013-05-31,146
2013-06-01,142
2013-06-02,149
2013-06-03,149
2013-06-04,153
2013-06-05,151
2013-06-06,143
2013-06-07,143
2013-06-08,140
2013-06-09,140
2013-06-10,140
2013-06-11,144
2013-06-12,148
2013-06-13,141
2013-06-14,139
2013-06-15,144
2013-06-16,136
2013-06-17,135
2013-06-18,132
2013-06-19,140
2013-06-20,144
2013-06-21,145
2013-06-22,149
2013-06-23,148
2013-06-24,143
2013-06-25,148
2013-06-26,143
2013-06-27,147
2013-06-28,149
2013-06-29,125
2013-06-30,127
2013-07-01,140
2013-07-02,149
2013-07-03,135
2013-07-04,143
2013-07-05,139
2013-07-06,143
2013-07-07,141
2013-07-08,137
2013-07-09,139
2013-07-10,150
