location,extent,year,Spatial_Completeness_mean,Valid_days,Total_days,Temporal_Completeness_pct,Max_Dropout_Days,CV_DNB_temporal,CV_Gap_temporal,CV_DNB_spatial,CV_Gap_spatial
Alang_Alang,1x1,2013,35.342465753424655,129,365,35.342465753424655,11,1.0177215095121779,1.1472148315161563,0.0,0.0
Alang_Alang,3x3,2013,33.63774733637747,130,365,35.61643835616438,11,0.8459479965862124,0.5252276922203398,0.8468652008967148,1.2033080713322672
Alang_Alang,5x5,2013,32.723287671232875,126,365,34.52054794520548,11,0.9472460901420907,0.5238080064835267,1.076326256182982,1.3810421822701955
Baybay_City,1x1,2013,28.493150684931507,104,365,28.493150684931507,15,0.7442595739775081,0.4923799571439453,0.0,0.0
Baybay_City,3x3,2013,26.48401826484018,99,365,27.123287671232877,15,0.584025094251958,0.39384482161846796,0.591427550821683,0.4971945180681904
Baybay_City,5x5,2013,23.813698630136987,95,365,26.027397260273972,15,0.5591557097043026,0.38172592474448513,0.9014844201447373,1.0735102076629048
Central_Leyte_Forest,1x1,2013,23.561643835616437,86,365,23.56164383561644,18,2.7765637490214883,0.8174036998305627,0.0,0.0
Central_Leyte_Forest,3x3,2013,21.796042617960428,85,365,23.28767123287671,18,2.7240555489361657,0.6156025793785769,0.5191960783284156,0.3807750329063599
Central_Leyte_Forest,5x5,2013,21.073972602739726,85,365,23.28767123287671,18,2.5261029377981012,0.5818933416296137,0.67000077868739,0.46135450898901326
Guiuan,1x1,2013,30.410958904109588,111,365,30.41095890410959,15,0.5605134025747333,0.3775745565844748,0.0,0.0
Guiuan,3x3,2013,28.34094368340944,108,365,29.589041095890412,15,0.5874353889870944,0.25780114370504115,0.5577072498730372,0.5841801549238135
Guiuan,5x5,2013,24.931506849315067,108,365,29.589041095890412,15,0.69083397842456,0.23117222682683805,0.9138381732657688,1.179583108803776
Mt_Nacolod_Upland,1x1,2013,35.61643835616438,130,365,35.61643835616438,16,2.655579755908517,0.9755102334863874,0.0,0.0
Mt_Nacolod_Upland,3x3,2013,32.754946727549466,128,365,35.06849315068493,13,2.217155474196303,0.8007778535372467,0.5270257109868881,0.38806880243097946
Mt_Nacolod_Upland,5x5,2013,32.0,129,365,35.342465753424655,13,2.032503810071742,0.6932335353794663,0.7001466346124793,0.4736910481737816
Ormoc_City,1x1,2013,32.32876712328767,118,365,32.32876712328767,15,0.6252424298530743,0.334738356165138,0.0,0.0
Ormoc_City,3x3,2013,29.40639269406393,117,365,32.054794520547944,15,0.497599294594227,0.28212905480109607,0.5566022232431279,0.5212363974652996
Ormoc_City,5x5,2013,27.024657534246575,113,365,30.958904109589042,15,0.4856402472710668,0.30021970685623517,0.8671670727343002,0.9322444317928866
Palo,1x1,2013,34.794520547945204,127,365,34.794520547945204,13,0.7779973414981171,0.5940157966874705,0.0,0.0
Palo,3x3,2013,33.6986301369863,124,365,33.97260273972603,13,0.5914545718749923,0.35355852435094753,0.6438844321164588,0.608876557823117
Palo,5x5,2013,32.821917808219176,124,365,33.97260273972603,13,0.5342743263923316,0.3127927477120937,0.923117862359628,0.9704765224693899
Samar_Forest_Reserve,1x1,2013,34.52054794520548,126,365,34.52054794520548,12,3.4406206109581206,1.0762495311955746,0.0,0.0
Samar_Forest_Reserve,3x3,2013,33.63774733637747,129,365,35.342465753424655,12,2.8205727930521576,0.8669916899941243,0.5005955263627512,0.3819638617898464
Samar_Forest_Reserve,5x5,2013,33.00821917808219,126,365,34.52054794520548,15,2.454382380159455,0.769575157356016,0.662995215301723,0.47131966307580375
Southern_Leyte_Gulf,1x1,2013,13.150684931506849,48,365,13.150684931506849,61,1.5359199936051846,1.8747999656503191,0.0,0.0
Southern_Leyte_Gulf,3x3,2013,11.445966514459665,43,365,11.78082191780822,62,1.118322588068435,1.7880019654923358,0.25742454985815305,0.6427237919550927
Southern_Leyte_Gulf,5x5,2013,10.860273972602739,42,365,11.506849315068493,62,1.027844469234857,1.5324827000608858,0.3337454091182016,0.68539737121172
Tacloban_City,1x1,2013,32.602739726027394,119,365,32.602739726027394,11,0.7066337891907486,0.4981799730051181,0.0,0.0
Tacloban_City,3x3,2013,30.837138508371382,116,365,31.780821917808222,11,0.6568518273460193,0.35701478359672933,0.43127903602957535,0.5314951072776486
Tacloban_City,5x5,2013,28.66849315068493,109,365,29.863013698630137,13,0.6020935567974358,0.3549625012437079,0.7610578465345558,0.9238302917862236
