date,location,extent,DNB_mean,DNB_stdDev,Gap_mean,Gap_stdDev,DNB_valid_px,Total_px,Valid_pct,HQ_hist,QF_hist
2013-09-02,Mt_Nacolod_Upland,1x1,0.2460758537054062,0.0,0.2460758537054062,0.0,1.0,1.0,100.0,{0: 1},{50: 1}
2013-09-02,Mt_Nacolod_Upland,3x3,0.23673057390583885,0.05179166171745696,0.23673057390583885,0.05179166171745696,9.0,9.0,100.0,{0: 9},{50: 9}
2013-09-02,Mt_Nacolod_Upland,5x5,0.22229194462299348,0.049932612635676665,0.22229194462299348,0.049932612635676665,25.0,25.0,100.0,{0: 25},{50: 25}
2013-09-16,Mt_Nacolod_Upland,1x1,,,0.10866444557905197,0.0,,,,{3: 1},{738: 1}
2013-09-16,Mt_Nacolod_Upland,3x3,,,0.1366718668076727,0.01928283613551279,,,,"{3: 6, 2: 3}",{738: 9}
2013-09-16,Mt_Nacolod_Upland,5x5,,,0.13906055003404616,0.01907088738230038,,,,"{3: 15, 2: 10}",{738: 25}
2013-07-13,Mt_Nacolod_Upland,1x1,,,0.3162224590778351,0.0,,,,{4: 1},{738: 1}
2013-07-13,Mt_Nacolod_Upland,3x3,,,0.24746891525056627,0.03602657691257188,,,,{4: 9},{738: 9}
2013-07-13,Mt_Nacolod_Upland,5x5,,,0.24846002876758574,0.039561009391310686,,,,{4: 25},{738: 25}
2013-07-07,Mt_Nacolod_Upland,1x1,,,0.2961752712726593,0.0,,,,{7: 1},{738: 1}
2013-07-07,Mt_Nacolod_Upland,3x3,,,0.2444038854704963,0.039849670602747723,,,,"{7: 7, 6: 2}",{738: 9}
2013-07-07,Mt_Nacolod_Upland,5x5,,,0.24096719026565552,0.04315259933879742,,,,"{7: 20, 6: 5}",{738: 25}
2013-10-23,Mt_Nacolod_Upland,1x1,,,0.0963742583990097,0.0,,,,{5: 1},{738: 1}
2013-10-23,Mt_Nacolod_Upland,3x3,,,0.13236775249242783,0.02444946787005455,,,,{5: 9},"{610: 2, 674: 2, 738: 4, 226: 1}"
2013-10-23,Mt_Nacolod_Upland,5x5,,,0.1402253559231758,0.02643753999196578,,,,"{5: 23, 6: 2}","{738: 10, 610: 4, 674: 6, 226: 5}"
2013-12-26,Mt_Nacolod_Upland,1x1,0.6233831644058228,0.0,0.6233831644058228,0.0,1.0,1.0,100.0,{0: 1},{34: 1}
2013-12-26,Mt_Nacolod_Upland,3x3,0.8239747087160746,0.13076941326058436,0.8239747087160746,0.13076941326058436,9.0,9.0,100.0,{0: 9},{34: 9}
2013-12-26,Mt_Nacolod_Upland,5x5,0.8018930196762085,0.1331202941497743,0.8018930196762085,0.1331202941497743,25.0,25.0,100.0,{0: 25},{34: 25}
2013-02-23,Mt_Nacolod_Upland,1x1,,,0.07273255288600922,0.0,,,,{8: 1},{34: 1}
2013-02-23,Mt_Nacolod_Upland,3x3,,,0.2674127398058772,0.44833556918365103,,,,"{1: 3, 0: 3, 8: 2, 2: 1}",{34: 9}
2013-02-23,Mt_Nacolod_Upland,5x5,,,0.1913371168387433,0.3838781160739833,,,,"{1: 13, 8: 4, 0: 4, 2: 4}",{34: 25}
2013-05-16,Mt_Nacolod_Upland,1x1,0.4384048879146576,0.0,0.4384048879146576,0.0,1.0,1.0,100.0,{0: 1},{34: 1}
2013-05-16,Mt_Nacolod_Upland,3x3,0.39880383014678955,0.051277496263049345,0.39880383014678955,0.051277496263049345,9.0,9.0,100.0,{0: 9},{34: 9}
2013-05-16,Mt_Nacolod_Upland,5x5,0.3633392697572708,0.06192381926622093,0.3633392697572708,0.06192381926622093,25.0,25.0,100.0,{0: 25},{34: 25}
2013-05-02,Mt_Nacolod_Upland,1x1,,,0.2345251590013504,0.0,,,,{1: 1},{242: 1}
2013-05-02,Mt_Nacolod_Upland,3x3,,,0.18796849913067287,0.03069317604682573,,,,{1: 9},"{242: 5, 754: 2, 114: 2}"
2013-05-02,Mt_Nacolod_Upland,5x5,,,0.23361758947372435,0.09554047896578498,,,,"{1: 21, 0: 4}","{754: 11, 242: 8, 50: 4, 114: 2}"
2013-05-03,Mt_Nacolod_Upland,1x1,0.2982029616832733,0.0,0.2982029616832733,0.0,1.0,1.0,100.0,{0: 1},{34: 1}
2013-05-03,Mt_Nacolod_Upland,3x3,0.28939591099818546,0.08248767208902381,0.28939591099818546,0.08248767208902381,9.0,9.0,100.0,{0: 9},{34: 9}
2013-05-03,Mt_Nacolod_Upland,5x5,0.30258559077978137,0.07950998231052887,0.30258559077978137,0.07950998231052887,25.0,25.0,100.0,{0: 25},{34: 25}
2013-05-17,Mt_Nacolod_Upland,1x1,,,0.2961752712726593,0.0,,,,{1: 1},{2226: 1}
2013-05-17,Mt_Nacolod_Upland,3x3,,,0.27889055344793534,0.05399536289192328,,,,"{0: 4, 1: 5}","{50: 4, 2226: 1, 114: 2, 2162: 2}"
2013-05-17,Mt_Nacolod_Upland,5x5,,,0.2858119988441467,0.06275535275489331,,,,"{0: 12, 1: 13}","{50: 12, 2226: 1, 114: 4, 2162: 8}"
2013-02-22,Mt_Nacolod_Upland,1x1,,,0.07273255288600922,0.0,,,,{7: 1},{114: 1}
2013-02-22,Mt_Nacolod_Upland,3x3,,,0.04827745887450874,0.024171549322616427,,,,"{1: 3, 7: 4, 0: 2}","{50: 4, 114: 3, 178: 2}"
2013-02-22,Mt_Nacolod_Upland,5x5,,,0.11157865522672301,0.21632090369349335,,,,"{1: 11, 7: 8, 0: 6}","{50: 15, 114: 5, 178: 4, 242: 1}"
2013-12-27,Mt_Nacolod_Upland,1x1,,,0.039280716329813004,0.0,,,,{1: 1},{754: 1}
2013-12-27,Mt_Nacolod_Upland,3x3,,,0.041084279409713216,0.009938104450115712,,,,{1: 9},"{242: 5, 754: 4}"
2013-12-27,Mt_Nacolod_Upland,5x5,,,0.04520791970193386,0.021079694493427628,,,,{1: 25},"{242: 10, 754: 12, 226: 3}"
2013-10-22,Mt_Nacolod_Upland,1x1,,,0.0963742583990097,0.0,,,,{4: 1},{738: 1}
2013-10-22,Mt_Nacolod_Upland,3x3,,,0.13236775249242783,0.02444946787005455,,,,{4: 9},{738: 9}
