Location,Valid Pixels (%),Gap-Filled Pixels (%),DNB Mean,Gap-Filled Mean ± STD,Max Dropout (days),Median Latest HQ Retrieval (days),% HQ = 0 (Same-day)
Tacloban_City,94 (25.8%),271 (74.2%),25.19,29.43 ± 0.00,11,2,25.75
Ormoc_City,97 (26.6%),268 (73.4%),16.06,21.11 ± 0.00,15,2,26.58
Baybay_City,78 (21.4%),287 (78.6%),6.06,9.46 ± 0.00,15,3,21.37
Palo,104 (28.5%),261 (71.5%),7.42,7.62 ± 0.00,13,2,28.49
Alang_Alang,119 (32.6%),246 (67.4%),1.89,2.16 ± 0.00,11,2,32.6
Guiuan,76 (20.8%),289 (79.2%),4.45,5.96 ± 0.00,15,2,20.82
Samar_Forest_Reserve,130 (35.6%),235 (64.4%),0.51,0.17 ± 0.00,12,1,35.62
Mt_Nacolod_Upland,130 (35.6%),235 (64.4%),0.48,0.19 ± 0.00,16,1,35.62
Central_Leyte_Forest,80 (21.9%),285 (78.1%),1.17,0.16 ± 0.00,18,3,21.92
Southern_Leyte_Gulf,55 (15.1%),310 (84.9%),0.39,0.06 ± 0.00,61,4,15.07
