Location,Valid Pixels (%),Gap-Filled Pixels (%),DNB Mean ± STD,Gap-Filled Mean ± STD,Max Dropout (days),Median Latest HQ Retrieval (days),% HQ = 0 (Same-day)
Tacloban_City,2616 (28.7%),6509 (71.3%),12.85 ± 10.36,15.93 ± 14.42,11,2,24.47
Ormoc_City,2466 (27.0%),6659 (73.0%),7.40 ± 6.30,8.22 ± 7.51,15,2,23.29
Baybay_City,2173 (23.8%),6952 (76.2%),2.69 ± 2.41,3.24 ± 3.49,15,3,22.37
Palo,2995 (32.8%),6130 (67.2%),3.29 ± 3.06,3.80 ± 3.68,13,2,28.96
Alang_Alang,2986 (32.7%),6139 (67.3%),0.77 ± 0.70,0.52 ± 0.70,11,1,34.12
Guiuan,2275 (24.9%),6850 (75.1%),2.00 ± 1.74,1.70 ± 2.00,15,2,23.08
Samar_Forest_Reserve,3012 (33.0%),6113 (67.0%),0.53 ± 0.31,0.17 ± 0.08,12,1,35.4
Mt_Nacolod_Upland,2920 (32.0%),6205 (68.0%),0.57 ± 0.39,0.19 ± 0.09,13,1,34.56
Central_Leyte_Forest,1923 (21.1%),7202 (78.9%),1.11 ± 0.49,0.16 ± 0.08,18,3,22.99
Southern_Leyte_Gulf,991 (10.9%),8134 (89.1%),0.36 ± 0.10,0.05 ± 0.03,61,4,15.86
