Group,Mask,Mask_Label,ValidPct,n_days,coverage_pct,pearson_r,spearman_r,R2,RMSE,MAE
30,G1,Urban Core,5,2533,53.54047770027478,0.8227602541934009,0.7693428157363824,0.6455205083868014,0.5953818032264663,0.4894974211065574
30,G1,Urban Core,10,2334,49.33417882054534,0.8425679384857065,0.7983680131219913,0.6851358769714133,0.561127546132416,0.4630778883717808
30,G1,Urban Core,15,2191,46.311562037624185,0.84850607176611,0.8066840185147235,0.6970121435322201,0.5504433272079696,0.45516210013327135
30,G1,Urban Core,20,2057,43.479179877404356,0.8516270924024427,0.8105228196147254,0.7032541848048854,0.5447438069359896,0.45249938621192565
30,G1,Urban Core,25,1936,40.92158106108645,0.8568102399923332,0.8201038837024909,0.7136204799846664,0.5351443917442595,0.4412199767401382
30,G1,Urban Core,30,1823,38.53307968716973,0.8643852149717491,0.8258640125092099,0.7287704299434983,0.5207970526572725,0.42967229058304246
30,G1,Urban Core,35,1698,35.89093214965124,0.8660502850790692,0.8253637353200535,0.7321005701581389,0.517590021002976,0.42369746054414686
30,G1,Urban Core,40,1605,33.92517438173748,0.8695004451626358,0.8299980976400163,0.7390008903252712,0.5108807196153803,0.4165835537347347
30,G1,Urban Core,45,1489,31.47326146692031,0.8675890703717162,0.8307373101607318,0.7351781407434322,0.514608452375753,0.4226397347375674
30,G1,Urban Core,50,1397,29.5286408793067,0.8712222889039981,0.8375237201662978,0.7424445778079962,0.5074991844249641,0.41508068470875464
30,G1,Urban Core,55,1296,27.393785668991754,0.8737468988287309,0.8357363353527191,0.7474937976574618,0.5024999525796378,0.40886724348012843
30,G1,Urban Core,60,1201,25.3857535404777,0.8785774295228825,0.8408826390700027,0.7571548590457654,0.4927932030316923,0.3944024739940088
30,G1,Urban Core,65,1089,23.018389346861127,0.8791360860795053,0.8508430399599852,0.7582721721590112,0.4916582429299734,0.3938050669631793
30,G1,Urban Core,70,951,20.10145846544071,0.8714806242438851,0.8430149275699254,0.7429612484877703,0.5069898929093455,0.4029669327848173
30,G1,Urban Core,75,813,17.184527584020294,0.8684595380339306,0.8424453429683236,0.7369190760678614,0.5129141486956064,0.4014480430803742
